information_gain,word
0.306336019915046,mortgage
0.2642364827750252,loan
0.21801950805307424,card
0.17586490925369613,debt
0.1443572981441923,credit
0.13194890064250497,report
0.1144551783016472,modification
0.10826173815455276,student
0.10795571939684567,loans
0.1028551146995933,equifa
0.10145690030264687,collection
0.10108907017849145,home
0.09815060667034148,navient
0.0923627953647479,payments
0.08809850064740576,foreclosure
0.08242295450315584,eperian
0.07815490773064937,property
0.0738054860975712,payment
0.0669411702186915,escrow
0.06588472383390664,account
0.06110151045110346,transunion
0.06055373119773044,interest
0.05880985400767402,checking
0.056636687881310266,money
0.053974762899280826,reporting
0.052308500634426824,$
0.05112769307609799,servicing
0.05070038575829683,sale
0.05044192884665755,funds
0.047214502174439676,car
0.04525280842110302,branch
0.04482913084106155,deposit
0.04381390869963653,collect
0.0429038801092374,vehicle
0.04211952730243995,overdraft
0.04157529210583455,customer
0.04134591880154126,house
0.04035917802724098,repayment
0.03864075731815264,lender
0.038194038601349956,disputed
0.03807424549809024,fees
0.03794705719300051,agency
0.03782980428724425,pay
0.03737532668341803,fargo
0.03704146172612788,wells
0.03672165445577846,month
0.03659966400896053,school
0.036582912295045844,late
0.03633447458628458,servicer
0.03628767791623666,would
0.03590319040001022,accounts
0.03583658422051572,fee
0.03410291090384554,forbearance
0.03406507540948267,removed
0.03394665866832991,rate
0.0336108239057471,monthly
0.033516447522567994,ocwen
0.03309606593899561,told
0.03302052694242086,us
0.032626195990192564,make
0.03248962340004358,private
0.03177594459477673,deposited
0.0314550102442257,refinance
0.0314043576087073,owe
0.03136571074539196,process
0.030291677859735522,debit
0.03008604655550995,income
0.029820303212511057,check
0.029294972412893028,dispute
0.029069286430598584,nationstar
0.028894495037020906,principal
0.02880085405738786,transaction
0.028657863751776258,chase
0.028575204206890525,applied
0.027757814507967993,appraisal
0.027468816444663702,time
0.02744731901494113,charged
0.027259732296015304,documents
0.026926409935760454,due
0.02682334436464684,made
0.026477849883126847,paying
0.026444132822543764,transactions
0.026275593513195528,opened
0.02624309208313269,fcra
0.026242686159743567,deleted
0.02607559144316207,remove
0.025867517477554447,%
0.025822356939036784,closing
0.02544260998334069,collector
0.025395443725369393,call
0.025132473665186783,company
0.024987804650896894,taes
0.02491439644152882,calls
0.024853164709216724,could
0.024821080314734623,bank
0.024796571411836776,recovery
0.02474962354208987,insurance
0.024415159605207126,inquiries
0.024351508538973388,short
0.024335553382087927,charge
0.024264646297190495,cards
0.02423665402967945,education
0.02413074191390452,months
0.023891030552483983,transfer
0.023740900444731317,atm
0.023216332121667183,charges
0.02301769570933976,calling
0.022986354961782585,sold
0.022787563268967137,called
0.02274708590475427,delete
0.02239272046188434,creditor
0.022209023334046396,new
0.021865911390788195,help
0.021595733348562796,collections
0.021589629640833774,get
0.02149516298141263,payday
0.021259036841609458,program
0.021202756129159006,foreclose
0.02114079019225379,purchases
0.021069344871033735,savings
0.02088698485202123,deed
0.020600927771248667,amount
0.020564943627276566,behind
0.020499774538739413,approved
0.020347613082945415,citi
0.02031787376986527,validation
0.020151351128476325,reports
0.020084391651792988,cash
0.019813337993832558,banking
0.019579641269712678,citibank
0.01933768851444695,plan
0.019047410970474132,since
0.019022587470768126,deferment
0.018882009376941067,bonus
0.01848797885384812,finance
0.01846427550319385,afford
0.01832526080632091,making
0.01824369534471737,close
0.01819856728834557,work
0.018073097307220287,capital
0.018032620979057334,title
0.018031358140985,took
0.018013890567768254,verified
0.01785500665432549,statement
0.01776318531872878,equity
0.017699294398376697,auto
0.017698914894298756,went
0.0176141033367192,bureaus
0.017528372413077697,closed
0.017502483261165214,received
0.01739033672317758,days
0.017332408876658878,customers
0.017294786730457812,ditech
0.017190529784821607,balance
0.017134166660879302,graduated
0.01705796207127319,paypal
0.0170401831935858,lower
0.01694750197329231,inaccurate
0.016808326378328964,college
0.016788415497632325,financial
0.016787443454691964,promotion
0.016588330062139445,hamp
0.01657381541902536,homeowners
0.016427406199450267,information
0.016418719192680342,one
0.016260915809606313,paperwork
0.016231066246316317,current
0.0161796145999884,refund
0.01616514614178488,value
0.016084222347851007,purchase
0.016069923126778463,identity
0.015991308415320038,epress
0.015727145969069767,dealership
0.015442011638323372,phone
0.015353159713096254,online
0.015318913118042676,default
0.015245594535075124,service
0.01520439613665614,score
0.015160534259001768,year
0.015120751860951298,manager
0.014994489836118063,synchrony
0.014861654433991234,options
0.014830453383531061,application
0.01474519339684388,said
0.014737280492821636,go
0.014699922258106124,rewards
0.014650195343490768,trial
0.014613720053443746,back
0.014574468783073335,file
0.014476071636506216,fha
0.014330372985804196,university
0.01429480435012298,owed
0.014196825636618726,another
0.01415683074177343,payoff
0.014155245887347512,review
0.014032622734068578,bill
0.013951465118728024,opening
0.013940689482830226,checks
0.013925953883640929,denied
0.013811735370460099,items
